X;Bulgaria;Estonia;Hungary;Latvia;Lithuania;Poland;Romania;Slovakia;Slovenia;Austria;Belgium;Croatia;Cyprus;Czech.Republic;Denmark;Finland;France;Germany;Greece;Ireland;Italy;Luxembourg;Malta;Netherlands;Portugal;Spain;Sweden;United.Kingdom
2006-Q4;87.52445331;;111.1604348;;133.0375065;84.86170234;100.0106646;76.03865824;130.3118987;121.5565937;91.72256202;;71.6886675;67.45608032;307.1019748;163.7975682;127.3021109;134.9412226;79.67397997;160.9267315;157.8147509;74.32672096;124.6507812;132.1790798;156.8570003;192.8875435;246.9530671;118.242499
2007-Q1;99.28714197;;113.9989916;;137.0572899;88.98588349;103.1465391;76.23836508;135.3096653;122.8447773;92.5694941;;73.05103415;69.57280547;307.4932142;162.4558211;127.8084786;134.6695218;79.2707593;167.1397991;160.2111039;76.39959512;130.8761248;134.3932489;163.2650131;195.9184523;250.5176156;117.5839053
2007-Q2;105.4302499;;115.7800199;;143.5108285;94.87632508;108.0149711;78.48712171;144.0830337;121.1521668;91.32754873;;74.12055179;71.73510345;310.9055245;164.358973;130.1624527;133.2342541;79.73374457;171.5586874;163.0759066;80.89929772;140.972494;132.7047139;162.6242408;199.7305412;248.8885661;116.9768688
2007-Q3;108.6861034;;120.7036144;;150.9171243;99.07683954;112.335869;80.81866291;151.8886571;120.702836;88.77550735;;74.53057709;74.58060513;307.1483701;162.79047;133.4465119;133.4909067;81.09486551;167.2179499;166.0226141;86.87185366;141.5910106;132.3993108;162.479687;204.3147513;252.5391056;118.327728
2007-Q4;109.4016412;;126.1743796;;158.3372586;100.5832948;116.0525003;84.98994205;159.2040632;121.8932421;88.79561955;;77.20780815;77.12788164;302.3110234;160.2751908;135.8782234;132.8915672;80.80990443;175.1208172;140.4355885;88.22383775;143.9924007;130.2869561;162.5139273;206.24276;254.5249883;118.6493333
2008-Q1;115.7805279;183.851528;128.5651275;;166.6659311;103.4779401;121.7883455;89.31145648;166.0461497;122.9220247;86.25357281;;83.75276491;79.77868573;302.1314706;159.2195733;138.6813727;132.8896216;81.05057562;183.1165113;138.8041895;87.83509195;151.2862855;132.0064206;164.5744252;205.1654566;256.647541;119.7137357
2008-Q2;124.8870536;186.1344419;131.5986083;;172.3740123;106.0221358;125.0142915;92.40838172;169.9393785;125.1395047;84.46000807;;86.53391363;82.52558867;306.0900289;157.5440337;138.8054746;132.6231519;80.25604475;188.5824022;137.5533436;91.4173954;149.9370918;129.8328958;166.4789463;201.6294807;261.0679597;119.8054481
2008-Q3;129.4135244;185.2874092;135.2900361;;176.1554253;109.0132085;128.9166964;93.18436225;174.1720914;126.1680568;85.50546293;;91.35360299;83.9857351;320.0424935;156.6606052;139.2367323;133.4463004;81.29061874;201.6898268;137.705245;95.83937989;155.659171;132.63685;162.5525751;200.8512254;262.8495573;119.104516
2008-Q4;131.2864768;186.1891407;137.4317757;;193.4290681;116.5791421;130.6392388;85.40097264;177.9067844;129.1382118;79.69646654;;97.42821326;84.93533005;327.4435707;157.3352131;139.4093271;127.3654358;79.35894057;189.6281401;137.7517504;107.0405373;159.8542275;131.0119154;166.3661964;196.6882149;260.6699368;118.5922219
2009-Q1;135.2099159;181.3646564;144.6410385;;189.0733842;117.8019862;129.3177408;91.6923046;174.7379541;127.2364895;76.4416139;;97.46793433;85.20558343;325.6522071;155.2931158;139.7031924;125.3589449;77.75245036;188.8187219;136.6028563;107.0952249;158.4068402;127.7667835;165.1218668;196.1465017;261.2157732;117.448738
2009-Q2;134.8304356;179.7235875;135.7382627;;184.3304989;113.7341708;125.6709449;92.15003074;172.1631999;124.9630945;74.05778083;;102.7311635;84.54179776;318.2734547;156.4156805;137.8752638;123.5355642;74.91686655;182.9992851;135.3871239;104.3742441;148.0398445;127.0562284;165.3474204;192.5161699;258.543197;122.0151333
2009-Q3;133.8402314;178.4039094;137.1649658;;177.6425601;113.1041553;122.1102288;92.52807548;173.8323832;124.2768866;72.81423821;;103.0001186;83.55304409;315.0192589;157.1855176;137.4293092;121.6604355;74.84591176;172.3453906;133.3646881;105.250773;145.7673096;128.1410704;166.9256433;189.7902277;259.075177;120.4343414
2009-Q4;131.1279056;174.6841676;135.1404047;;172.3364951;110.47389;121.4875748;92.25353189;173.1922708;122.4178389;69.02449206;;99.26117683;82.41985079;313.3858625;154.9994229;137.2782443;120.5163584;76.73114686;172.5889932;131.849606;99.63660012;127.2822056;128.7754323;168.3887307;187.7657495;256.3047726;119.3326921
2010-Q1;127.5891659;166.8110121;134.4080523;;166.6702346;110.1480276;120.3726871;92.99146426;174.0726614;123.6430191;68.68819006;;97.48083441;81.69574547;302.8098828;157.2811792;136.2382593;119.1766262;78.13437715;173.8028198;132.0672986;98.02815005;117.0331095;127.4703171;166.274075;187.17014;256.2437337;126.3434401
2010-Q2;126.5881352;159.4160403;142.1597597;;159.0855658;111.8218203;121.4209003;92.06735601;173.6461493;123.8740246;67.04236066;;93.80596121;81.19531181;300.8897163;152.1559589;136.4254303;118.2834365;93.27920122;169.132587;137.4672997;101.9793668;107.6681569;118.4564809;166.7003153;183.1608518;256.623326;124.2686977
2010-Q3;125.8937199;158.6287042;138.5384537;165.6960954;152.6869491;110.9668621;121.5548317;92.2018572;171.5425253;123.0281406;65.45510138;;90.86189168;81.90296229;298.4458598;154.4788442;136.0795168;116.3228487;97.62602844;171.5199083;138.4684465;98.44640909;104.2939957;120.9001744;163.8130098;178.6750095;253.6025376;121.814384
2010-Q4;122.1239622;152.5271557;137.6053934;149.5482705;145.1600388;109.922397;120.2210135;91.45162176;172.5891509;125.7344233;63.81635191;112.3923268;90.58735915;82.20374605;297.6020512;150.0137299;134.7240441;115.6349136;99.69228458;169.8609442;139.7654217;98.02411883;96.62450483;122.4673961;159.9231292;170.6035983;252.4311454;118.9471081
2011-Q1;118.5614433;150.128552;133.5765658;147.5204277;141.2298355;109.7555066;120.3051134;93.72959261;172.3406268;125.9828584;64.39189536;110.6465472;92.8729967;82.80661396;302.584051;151.9738032;135.2468762;114.982735;101.3013954;169.4779979;142.5294638;99.08685253;96.78482633;128.6400885;162.0000833;166.8161934;251.3392072;117.3246266
2011-Q2;116.4969389;146.6065142;131.4983975;139.4929592;137.5398398;111.180487;120.4241369;94.60933301;169.6265808;125.6283656;64.45555545;111.7577591;92.43316434;83.21992968;297.8686209;150.175889;135.7873331;114.196213;106.0261769;172.0254344;144.1947164;100.8006257;94.87289914;130.3782568;158.9362607;163.6078334;251.362117;115.772634
2011-Q3;112.1417704;137.5173702;131.2967409;131.7047881;134.0715228;112.1558856;120.5213903;94.49339896;166.5245005;125.1876418;62.90271089;110.5622846;98.94508974;83.12730881;296.1283369;147.9171769;135.2359499;113.3933017;108.9268802;174.5545175;144.3218849;99.66341901;98.31726046;126.1194777;156.0525961;164.5021622;250.226242;115.2443706
2011-Q4;111.0974604;130.7794679;126.2167907;127.3354275;132.308852;110.4706032;120.2580654;96.0188065;167.0616432;125.7051962;60.75516714;111.1353358;100.1209092;83.30678725;298.1285877;155.2977503;133.9083761;112.8101054;114.8889688;161.1382669;143.7631166;102.3101102;99.69724846;122.1808443;153.6429197;168.9362508;246.4055332;114.4814487
2012-Q1;108.8232254;130.0154671;121.3456317;115.774526;129.0359003;110.0483817;120.2163966;95.02035871;165.1934413;123.7228478;62.87778657;111.3803849;98.69495584;83.03669889;303.6530482;156.7825855;130.7604092;111.6150973;117.2345134;156.3258694;141.5119454;104.3107043;95.45989364;119.7242238;149.7783268;171.7797965;244.3540089;113.0773789
2012-Q2;108.176507;124.0721843;117.6597678;107.4553262;125.9930095;110.1312559;120.0681431;95.02470201;162.5939302;123.7432509;62.84203902;107.7697598;103.2831825;82.76391119;305.2224376;157.5718078;129.1073181;110.8163585;121.2742625;155.3805377;139.0837628;99.41230433;95.5825459;123.694422;148.4315449;174.2820655;243.9397573;111.5959544
2012-Q3;105.5398478;121.0702794;112.972443;104.9847309;123.6944238;108.4341786;118.7304583;94.4551296;161.4593497;124.3611135;61.86150304;105.5993595;102.8380821;82.32070483;296.6587437;156.4500139;127.1940699;109.2565938;118.8560488;151.1305573;136.0336964;100.6411541;92.27173175;125.3280257;147.781823;174.6524375;241.8955743;109.6476524
2012-Q4;107.8515833;120.4766681;110.5504798;102.3900804;120.9346895;106.9004477;118.4891134;94.41764296;156.9870096;124.0059208;61.66118478;101.60433;102.4923662;82.36916254;289.2956925;157.1150853;127.0066906;107.9729726;113.9093313;150.8872681;132.7374747;97.52255665;92.15431568;125.4264416;148.6083309;162.163037;239.3865705;107.4599564
2013-Q1;105.8246513;121.9638967;109.8585996;97.48521957;119.6199695;101.4892442;115.0605204;94.66391187;155.2078201;124.1827539;61.1454522;99.40045075;109.7944891;82.53683776;287.0786754;156.600213;125.8677235;107.6185078;114.2334121;150.1904425;129.1208455;98.8199896;89.66592092;125.7229808;145.4558815;153.1691508;241.0802823;105.5853714
2013-Q2;106.149551;120.2383281;108.5945127;94.27064392;117.019471;101.0110158;112.0615738;94.40875499;154.1608504;123.5761104;62.22158029;98.43010686;131.8574681;82.8859383;287.8032336;160.5970837;123.7398256;106.1566538;111.8055091;144.4178876;127.0928902;93.90988105;83.56971394;124.6990323;141.4365131;149.388678;239.688361;103.796481
2013-Q3;102.7930184;118.1075069;111.0950202;90.54350297;115.628028;100.5999017;109.388878;94.90376279;146.7470004;124.2751778;60.52505627;96.47645521;131.9879616;82.98994331;291.1298294;161.7816942;123.5698557;104.9569591;116.9457965;146.8157688;125.5409805;93.05571216;77.77450096;122.7149785;138.7534746;145.4652967;238.2220171;103.349839
2013-Q4;99.2681376;116.4240838;107.5326568;86.9723997;115.991212;99.72121775;106.1121333;95.47450871;135.6549591;123.0912017;60.79976662;95.21533829;132.3571962;83.02804042;290.9318023;159.9225561;122.4906752;103.5562717;114.2041959;141.5372054;123.91221;95.08395117;72.22781865;122.2781452;137.5525346;141.5721396;235.8333623;103.1246489
2014-Q1;98.2652592;113.0843302;110.4193495;82.83522001;114.4195494;99.7745213;103.6663523;95.95222873;126.1713467;123.8124306;61.08214127;93.77323826;131.6498236;82.33785264;281.2286927;160.3911775;121.5772592;103.391986;113.7591003;135.4534641;122.9321713;94.00403464;70.7541679;120.5440562;137.0828236;138.1658516;235.6602898;102.6094607
2014-Q2;99.97660175;114.1047992;110.2304023;79.29763243;112.9011341;99.5016651;101.3609313;96.23683897;120.3517935;123.3648374;61.84308253;92.78551948;129.8687764;81.72106981;282.3963986;164.1337178;120.2465076;103.0761503;107.9614797;126.3067235;121.8880175;96.70245606;73.29814668;119.7604182;131.9176943;135.0729693;235.8121577;102.3930651
2014-Q3;96.80110107;112.6453222;108.0620515;74.42107333;109.4411119;98.06099678;98.75313054;99.35603686;113.6039984;123.2361721;62.32389255;91.69501404;126.9090385;81.50719053;285.5044303;164.1878571;119.1527783;102.3350808;110.7337954;120.4537693;120.1627753;95.73512367;72.63700197;118.2861159;129.1282773;132.5313247;236.0951771;101.8793893
2014-Q4;89.69325017;110.4745667;106.8021568;71.29155345;101.5090403;96.1166636;95.6206019;98.5603707;104.5577832;119.6259075;63.30912909;91.35523096;130.4505726;81.0487092;289.310384;168.4573249;118.2756022;102.147222;112.6340832;123.8712664;118.5375341;98.20337684;75.86912316;116.0996782;124.8912315;132.120427;232.3280363;100.9099007
2015-Q1;85.85712651;106.1365049;100.2437562;67.97147438;99.29948504;97.27408607;94.67746919;98.28781527;100.5519077;120.8128964;64.30792048;90.66405163;135.2860807;80.75879876;293.0813133;164.8524033;117.9172677;101.9166774;128.1096109;118.6172075;117.4664208;106.9621441;70.56689585;116.0113234;122.6034576;131.7047293;230.2762835;100.6634554
2015-Q2;83.86182502;104.8086899;98.40478271;67.6092831;99.04999387;96.80462419;92.80805041;98.99648105;97.69033424;120.0237639;64.04417709;89.00981199;135.1572189;80.6621124;285.7276962;162.2277129;118.1695994;101.459283;138.0766108;119.3487304;117.6323906;114.6323404;65.71643255;115.0478061;119.2986953;130.4435026;226.0037405;99.92056208
2015-Q3;82.10004478;106.3189885;97.08031186;66.42324793;99.49184752;95.06693385;91.66695536;98.27423065;93.60791912;118.6545923;65.44071432;86.1283463;131.1453417;80.53991792;283.2866234;163.2112833;116.9980733;101.6594285;142.1571491;116.2302215;116.7535197;117.0850813;66.73439584;114.0504929;116.9318387;128.0516809;223.8669868;99.54131999
2015-Q4;77.59586911;108.7476426;89.98816143;65.55103967;99.58667914;95.80047732;89.8773732;98.33952704;90.33698124;118.3625043;66.90861482;83.82642782;130.2216107;80.60822979;288.0327254;162.453473;116.0888237;101.4057845;142.9740434;115.331003;115.0681986;120.8764871;68.74414322;116.1094334;116.0565429;127.122859;223.5894541;99.23743047
2016-Q1;77.4982063;110.9471635;94.03631802;66.46851541;100.904177;96.02302217;88.42783424;98.38080318;85.70796164;117.3682829;65.60786603;82.17378246;128.233932;81.24577781;291.6283387;161.1286597;114.7748088;101.0578296;143.2077868;109.0733863;113.2631044;121.0922571;67.4303517;115.2356738;112.2338204;125.0488818;222.1540073;99.04462058
